Dates,Status,Description,Group
01/01/2018,Public Holiday,New Year 2018 AD,National
16/02/2018,Public Holiday,Chinese New Year 2569 Kongzili,Chinese
17/03/2018,Public Holiday,Nyepi Day Saka New Year 1940,Hindu
30/03/2018,Public Holiday,Good Friday,Christian
14/04/2018,Public Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
01/05/2018,Public Holiday,International Labor Day,National
10/05/2018,Public Holiday,Ascension Day of Jesus,Christian
29/05/2018,Public Holiday,Vesak Day 2562,Buddha
01/06/2018,Public Holiday,Pancasila birthday,National
11/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
12/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
13/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
14/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
15/06/2018,Public Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
16/06/2018,Public Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
18/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
19/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
20/06/2018,Joint Holiday,Eid Al-Fitr 1439 Hijriyah,Islamic
17/08/2018,Public Holiday,Republic of Indonesia Independence Day,National
22/08/2018,Public Holiday,Eid al-Adha 1439 Hijriyah,Islamic
11/09/2018,Public Holiday,Islamic New Year 1440 Hijri,Islamic
20/11/2018,Public Holiday,Birthday of Prophet Muhammad,Islamic
24/12/2018,Joint Holiday,Christmas,Christian
25/12/2018,Public Holiday,Christmas,Christian
01/01/2019,Public Holiday,New Year 2019 AD,National
05/02/2019,Public Holiday,Chinese New Year 2570 Kongzili,Chinese
07/03/2019,Public Holiday,Nyepi Day Saka New Year 1941,Hindu
03/04/2019,Public Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
19/04/2019,Public Holiday,Good Friday,Christian
01/05/2019,Public Holiday,International Labor Day,National
19/05/2019,Public Holiday,Vesak Day 2563,Buddha
30/05/2019,Public Holiday,Ascension Day of Jesus,Christian
01/06/2019,Public Holiday,Pancasila birthday,National
03/06/2019,Joint Holiday,Eid Al-Fitr 1440 Hijriyah,Islamic
04/06/2019,Joint Holiday,Eid Al-Fitr 1440 Hijriyah,Islamic
05/06/2019,Public Holiday,Eid Al-Fitr 1440 Hijriyah,Islamic
06/06/2019,Public Holiday,Eid Al-Fitr 1440 Hijriyah,Islamic
07/06/2019,Joint Holiday,Eid Al-Fitr 1440 Hijriyah,Islamic
11/08/2019,Public Holiday,Eid al-Adha 1440 Hijriyah,Islamic
17/08/2019,Public Holiday,Republic of Indonesia Independence Day,National
01/09/2019,Public Holiday,Islamic New Year 1441 Hijriyah,Islamic
09/11/2019,Public Holiday,Birthday of Prophet Muhammad,Islamic
24/12/2019,Joint Holiday,Christmas,Christian
25/12/2019,Public Holiday,Christmas,Christian
01/01/2020,Public Holiday,New Year 2020 AD,National
25/01/2020,Public Holiday,Chinese New Year 2571 Kongzili,Chinese
22/03/2020,Public Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
25/03/2020,Public Holiday,Nyepi Day Saka New Year 1942,Hindu
10/04/2020,Public Holiday,Good Friday,Christian
01/05/2020,Public Holiday,International Labor Day,National
07/05/2020,Public Holiday,Vesak Day 2564,Buddha
21/05/2020,Public Holiday,Ascension Day of Jesus,Christian
22/05/2020,Joint Holiday,Eid Al-Fitr 1441 Hijriyah,Islamic
24/05/2020,Public Holiday,Eid Al-Fitr 1441 Hijriyah,Islamic
25/05/2020,Public Holiday,Eid Al-Fitr 1441 Hijriyah,Islamic
26/05/2020,Joint Holiday,Eid Al-Fitr 1441 Hijriyah,Islamic
27/05/2020,Joint Holiday,Eid Al-Fitr 1441 Hijriyah,Islamic
01/06/2020,Public Holiday,Pancasila birthday,National
31/07/2020,Public Holiday,Eid al-Adha 1441 Hijriyah,Islamic
17/08/2020,Public Holiday,Republic of Indonesia Independence Day,National
20/08/2020,Public Holiday,Islamic New Year 1442 Hijriyah,Islamic
29/10/2020,Public Holiday,Birthday of Prophet Muhammad,Islamic
24/12/2020,Joint Holiday,Christmas,Christian
25/12/2020,Public Holiday,Christmas,Christian
01/01/2021,Public Holiday,New Year 2021 AD,National
12/02/2021,Public Holiday,Chinese New Year 2572 Kongzili,Chinese
11/03/2021,Public Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
12/03/2021,Joint Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
14/03/2021,Public Holiday,Nyepi Day Saka New Year 1943,Hindu
02/04/2021,Public Holiday,Good Friday,Christian
01/05/2021,Public Holiday,International Labor Day,National
12/05/2021,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
13/05/2021,Public Holiday,Ascension Day of Jesus & Eid Al-Fitr 1442 Hijriyah,Christian & Islamic
14/05/2021,Public Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
17/05/2021,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
18/05/2021,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
19/05/2021,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
26/05/2021,Public Holiday,Vesak Day 2565,Buddha
01/06/2021,Public Holiday,Pancasila birthday,National
20/07/2021,Public Holiday,Eid al-Adha 1442 Hijriyah,Islamic
10/08/2021,Public Holiday,Islamic New Year 1443 Hijriyah,Islamic
17/08/2021,Public Holiday,Republic of Indonesia Independence Day,National
19/10/2021,Public Holiday,Birthday of Prophet Muhammad,Islamic
24/12/2021,Joint Holiday,Christmas,Christian
25/12/2021,Public Holiday,Christmas,Christian
01/01/2022,Public Holiday,New Year 2022 AD,National
01/02/2022,Public Holiday,Chinese New Year 2573 Kongzili,Chinese
28/02/2022,Public Holiday,Isra Mi'raj Prophet Muhammad S.A.W.,Islamic
03/03/2022,Public Holiday,Nyepi Day Saka New Year 1944,Hindu
15/04/2022,Public Holiday,Good Friday,Christian
29/04/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
01/05/2022,Public Holiday,International Labor Day,National
02/05/2022,Public Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
03/05/2022,Public Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
04/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
05/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
06/05/2022,Joint Holiday,Eid Al-Fitr 1442 Hijriyah,Islamic
16/05/2022,Public Holiday,Vesak Day 2565,Buddha
26/05/2022,Public Holiday,Ascension Day of Jesus,Christian
01/06/2022,Public Holiday,Pancasila birthday,National
09/07/2022,Public Holiday,Eid al-Adha 1443 Hijriyah,Islamic
30/07/2022,Public Holiday,Islamic New Year 1444 Hijriyah,Islamic
17/08/2022,Public Holiday,Republic of Indonesia Independence Day,National
08/10/2022,Public Holiday,Birthday of Prophet Muhammad,Islamic
25/12/2022,Public Holiday,Christmas,Christian
